"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","56.188","0.000","0.000"
"0001","0.010","56.188","0.000","0.000"
"0001","0.020","56.188","0.000","0.000"
"0001","0.030","56.188","0.000","0.000"
"0001","0.040","56.188","0.000","0.000"
"0001","0.050","56.188","0.000","0.000"
"0001","0.060","56.188","0.000","0.000"
"0001","0.070","56.188","0.000","0.000"
"0001","0.080","56.188","0.000","0.000"
"0001","0.090","56.188","0.000","0.000"
"0001","0.100","56.188","0.000","0.000"
"0001","0.110","56.188","0.000","0.000"
"0001","0.120","56.188","0.000","0.000"
"0001","0.130","56.188","0.000","0.000"
"0001","0.140","56.188","0.000","0.000"
"0001","0.150","56.188","0.000","0.000"
"0001","0.160","56.188","0.000","0.000"
"0001","0.170","56.188","0.000","0.000"
"0001","0.180","56.188","0.000","0.000"
"0001","0.190","56.188","0.000","0.000"
"0001","0.200","56.188","0.000","0.000"
"0001","0.210","56.188","0.000","0.000"
"0001","0.220","56.188","0.000","0.000"
"0001","0.230","56.188","0.000","0.000"
"0001","0.240","56.188","0.000","0.000"
"0001","0.250","56.188","0.000","0.000"
"0001","0.260","56.188","0.000","0.000"
"0001","0.270","56.188","0.000","0.000"
"0001","0.280","56.188","0.000","0.000"
"0001","0.290","56.188","0.000","0.000"
"0001","0.300","56.188","0.000","0.000"
"0001","0.310","56.188","0.000","0.000"
"0001","0.320","56.188","0.000","0.000"
"0001","0.330","56.188","0.000","0.000"
"0001","0.340","56.188","0.000","0.000"
"0001","0.350","56.188","0.000","0.000"
"0001","0.360","56.188","0.000","0.000"
"0001","0.370","56.188","0.000","0.000"
"0001","0.380","56.188","0.000","0.000"
"0001","0.390","56.188","0.000","0.000"
"0001","0.400","56.188","0.000","0.000"
"0001","0.410","56.188","0.000","0.000"
"0001","0.420","56.188","0.000","0.000"
"0001","0.430","56.188","0.000","0.000"
"0001","0.440","56.188","0.000","0.000"
"0001","0.450","56.188","0.000","0.000"
"0001","0.460","56.188","0.000","0.000"
"0001","0.470","56.188","0.000","0.000"
"0001","0.480","56.188","0.000","0.000"
"0001","0.490","56.188","0.000","0.000"
"0001","0.500","56.188","0.000","0.000"
"0001","0.510","56.188","0.000","0.000"
"0001","0.520","56.188","0.000","0.000"
"0001","0.530","56.188","0.000","0.000"
"0001","0.540","56.188","0.000","0.000"
"0001","0.550","56.188","0.000","0.000"
"0001","0.560","56.188","0.000","0.000"
"0001","0.570","56.188","0.000","0.000"
"0001","0.580","56.188","0.000","0.000"
"0001","0.590","56.188","0.000","0.000"
"0001","0.600","56.188","0.000","0.000"
"0001","0.610","56.188","0.000","0.000"
"0001","0.620","56.188","0.000","0.000"
"0001","0.630","56.188","0.000","0.000"
"0001","0.640","56.188","0.000","0.000"
"0001","0.650","56.188","0.000","0.000"
"0001","0.660","56.188","0.000","0.000"
"0001","0.670","56.188","0.000","0.000"
"0001","0.680","56.188","0.000","0.000"
"0001","0.690","56.188","0.000","0.000"
"0001","0.700","56.188","0.000","0.000"
"0001","0.710","56.188","0.000","0.000"
"0001","0.720","56.188","0.000","0.000"
"0001","0.730","56.188","0.000","0.000"
"0001","0.740","56.188","0.000","0.000"
"0001","0.750","56.188","0.000","0.000"
"0001","0.760","56.188","0.000","0.000"
"0001","0.770","56.188","0.000","0.000"
"0001","0.780","56.188","0.000","0.000"
"0001","0.790","56.188","0.000","0.000"
"0001","0.800","56.188","0.000","0.000"
"0001","0.810","56.188","0.000","0.000"
"0001","0.820","56.188","0.000","0.000"
"0001","0.830","56.188","0.000","0.000"
"0001","0.840","56.188","0.000","0.000"
"0001","0.850","56.188","0.000","0.000"
"0001","0.860","56.188","0.000","0.000"
"0001","0.870","56.188","0.000","0.000"
"0001","0.880","56.188","0.000","0.000"
"0001","0.890","56.188","0.000","0.000"
"0001","0.900","56.188","0.000","0.000"
"0001","0.910","56.188","0.000","0.000"
"0001","0.920","56.188","0.000","0.000"
"0001","0.930","56.188","0.000","0.000"
"0001","0.940","56.188","0.000","0.000"
"0001","0.950","56.188","0.000","0.000"
"0001","0.960","56.188","0.000","0.000"
"0001","0.970","56.188","0.000","0.000"
"0001","0.980","56.188","0.000","0.000"
"0001","0.990","56.188","0.000","0.000"
"0001","1.000","56.188","0.000","0.000"
"0001","1.010","56.188","0.000","0.000"
"0001","1.020","56.188","0.000","0.000"
"0001","1.030","56.188","0.000","0.000"
"0001","1.040","56.188","0.000","0.000"
"0001","1.050","56.188","0.000","0.000"
"0001","1.060","56.188","0.000","0.000"
"0001","1.070","56.188","0.000","0.000"
"0001","1.080","56.188","0.000","0.000"
"0001","1.090","56.188","0.000","0.000"
"0001","1.100","56.188","0.000","0.000"
"0001","1.110","56.188","0.000","0.000"
"0001","1.120","56.188","0.000","0.000"
"0001","1.130","56.188","0.000","0.000"
"0001","1.140","56.188","0.000","0.000"
"0001","1.150","56.188","0.000","0.000"
"0001","1.160","56.188","0.000","0.000"
"0001","1.170","56.188","0.000","0.000"
"0001","1.180","56.188","0.000","0.000"
"0001","1.190","56.188","0.000","0.000"
"0001","1.200","56.188","0.000","0.000"
"0001","1.210","56.188","0.000","0.000"
"0001","1.220","56.188","0.000","0.000"
"0001","1.230","56.188","0.000","0.000"
"0001","1.240","56.188","0.000","0.000"
"0001","1.250","56.188","0.000","0.000"
"0001","1.260","56.188","0.000","0.000"
"0001","1.270","56.188","0.000","0.000"
"0001","1.280","56.188","0.000","0.000"
"0001","1.290","56.188","0.000","0.000"
"0001","1.300","56.188","0.000","0.000"
"0001","1.310","56.188","0.000","0.000"
"0001","1.320","56.188","0.000","0.000"
"0001","1.330","56.188","0.000","0.000"
"0001","1.340","56.188","0.000","0.000"
"0001","1.350","56.188","0.000","0.000"
"0001","1.360","56.188","0.000","0.000"
"0001","1.370","56.188","0.000","0.000"
"0001","1.380","56.188","0.000","0.000"
"0001","1.390","56.188","0.000","0.000"
"0001","1.400","56.188","0.000","0.000"
"0001","1.410","56.188","0.000","0.000"
"0001","1.420","56.188","0.000","0.000"
"0001","1.430","56.188","0.000","0.000"
"0001","1.440","56.188","0.000","0.000"
"0001","1.450","56.188","0.000","0.000"
"0001","1.460","56.188","0.000","0.000"
"0001","1.470","56.188","0.000","0.000"
"0001","1.480","56.188","0.000","0.000"
"0001","1.490","56.188","0.000","0.000"
"0001","1.500","56.188","0.000","0.000"
"0001","1.510","56.188","0.000","0.000"
"0001","1.520","56.188","0.000","0.000"
"0001","1.530","56.188","0.000","0.000"
"0001","1.540","56.188","0.000","0.000"
"0001","1.550","56.188","0.000","0.000"
"0001","1.560","56.188","0.000","0.000"
"0001","1.570","56.188","0.000","-0.188"
"0001","1.580","56.188","0.000","-0.563"
"0001","1.590","56.188","0.000","-0.688"
"0001","1.600","56.188","0.000","-0.938"
"0001","1.610","56.188","7.736","-1.750"
"0001","1.620","56.188","10.912","-1.938"
"0001","1.630","56.125","17.071","-1.875"
"0001","1.640","56.125","21.410","-1.813"
"0001","1.650","56.125","26.018","-1.813"
"0001","1.660","56.063","30.679","-1.813"
"0001","1.670","56.063","37.702","-1.688"
"0001","1.680","56.063","42.130","-1.500"
"0001","1.690","56.063","46.223","-1.375"
"0001","1.700","56.000","49.944","-1.188"
"0001","1.710","56.000","54.910","-0.938"
"0001","1.720","56.000","57.862","-0.750"
"0001","1.730","56.000","60.680","-0.688"
"0001","1.740","55.938","64.983","-0.563"
"0001","1.750","55.938","68.092","-0.563"
"0001","1.760","55.938","71.469","-0.563"
"0001","1.770","55.938","75.070","-0.563"
"0001","1.780","55.938","80.573","-0.563"
"0001","1.790","55.938","83.995","-0.500"
"0001","1.800","55.938","87.059","-0.375"
"0001","1.810","55.938","89.855","-0.313"
"0001","1.820","55.938","93.836","-0.313"
"0001","1.830","55.938","96.609","-0.313"
"0001","1.840","55.938","99.562","-0.313"
"0001","1.850","55.938","104.214","-0.375"
"0001","1.860","55.938","107.278","-0.375"
"0001","1.870","55.938","110.275","-0.313"
"0001","1.880","55.938","113.116","-0.313"
"0001","1.890","55.938","117.142","-0.250"
"0001","1.900","55.938","119.624","-0.188"
"0001","1.910","55.938","121.928","-0.188"
"0001","1.920","55.875","123.927","-0.188"
"0001","1.930","55.875","126.276","-0.125"
"0001","1.940","55.875","127.483","-0.125"
"0001","1.950","55.875","128.512","-0.063"
"0001","1.960","55.875","129.944","-0.063"
"0001","1.970","55.875","130.950","-0.063"
"0001","1.980","55.875","132.091","0.000"
"0001","1.990","55.875","133.388","0.000"
"0001","2.000","55.875","135.558","0.000"
"0001","2.010","55.875","136.967","0.000"
"0001","2.020","55.875","138.264","0.000"
"0001","2.030","55.875","139.293","0.000"
