"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","71.188","0.000","0.000"
"0001","0.010","71.188","0.000","0.000"
"0001","0.020","71.188","0.000","0.000"
"0001","0.030","71.188","0.000","0.000"
"0001","0.040","71.188","0.000","0.000"
"0001","0.050","71.188","0.000","0.000"
"0001","0.060","71.188","0.000","0.000"
"0001","0.070","71.188","0.000","0.000"
"0001","0.080","71.188","0.000","0.000"
"0001","0.090","71.188","0.000","0.000"
"0001","0.100","71.188","0.000","0.000"
"0001","0.110","71.188","0.000","0.000"
"0001","0.120","71.188","0.000","0.000"
"0001","0.130","71.188","0.000","0.000"
"0001","0.140","71.188","0.000","0.000"
"0001","0.150","71.188","0.000","0.000"
"0001","0.160","71.188","0.000","-0.063"
"0001","0.170","71.188","0.000","-0.063"
"0001","0.180","71.188","3.680","-0.313"
"0001","0.190","71.125","5.345","-1.125"
"0001","0.200","71.125","8.521","-1.250"
"0001","0.210","71.125","11.317","-1.188"
"0001","0.220","71.125","14.247","-1.188"
"0001","0.230","71.125","17.512","-1.250"
"0001","0.240","71.063","22.778","-1.375"
"0001","0.250","71.063","26.289","-1.313"
"0001","0.260","71.063","29.667","-1.188"
"0001","0.270","71.063","32.798","-1.063"
"0001","0.280","71.063","37.003","-0.938"
"0001","0.290","71.000","39.450","-0.813"
"0001","0.300","71.000","41.687","-0.688"
"0001","0.310","71.000","44.886","-0.688"
"0001","0.320","71.000","47.122","-0.750"
"0001","0.330","71.000","49.560","-0.875"
"0001","0.340","71.000","52.222","-1.000"
"0001","0.350","71.000","56.583","-1.063"
"0001","0.360","71.000","59.580","-1.063"
"0001","0.370","71.000","62.510","-1.000"
"0001","0.380","70.938","65.271","-0.875"
"0001","0.390","70.938","68.961","-0.625"
"0001","0.400","70.938","71.153","-0.563"
"0001","0.410","70.938","73.166","-0.438"
"0001","0.420","70.938","75.873","-0.313"
"0001","0.430","70.938","77.505","-0.250"
"0001","0.440","70.938","79.004","-0.188"
"0001","0.450","70.938","80.435","-0.188"
"0001","0.460","70.938","82.672","-0.125"
"0001","0.470","70.938","84.282","-0.125"
"0001","0.480","70.938","86.005","-0.125"
"0001","0.490","70.938","87.749","-0.125"
"0001","0.500","70.938","90.254","-0.125"
"0001","0.510","70.938","91.663","-0.125"
"0001","0.520","70.938","92.759","-0.063"
"0001","0.530","70.938","93.855","-0.063"
"0001","0.540","70.938","94.347","0.000"
"0001","0.550","70.938","94.839","0.000"
"0001","0.560","70.938","95.399","0.000"
"0001","0.570","70.938","96.450","0.000"
"0001","0.580","70.938","97.188","0.000"
"0001","0.590","70.938","97.904","0.000"
"0001","0.600","70.938","98.463","0.000"
"0001","0.610","70.938","98.955","0.000"
"0001","0.620","70.938","99.067","0.000"
"0001","0.630","70.938","99.044","0.000"
"0001","0.640","70.938","98.888","0.000"
"0001","0.650","70.938","98.753","0.000"
"0001","0.660","70.938","98.686","0.000"
"0001","0.670","70.938","98.731","0.000"
"0001","0.680","70.938","98.955","0.000"
"0001","0.690","70.938","99.156","0.000"
"0001","0.700","70.938","99.357","0.000"
"0001","0.710","70.938","99.492","0.000"
"0001","0.720","70.938","99.603","0.000"
"0001","0.730","70.938","99.693","0.000"
"0001","0.740","70.938","99.805","0.000"
"0001","0.750","70.938","99.894","0.000"
"0001","0.760","70.938","99.894","0.000"
"0001","0.770","70.938","99.849","0.000"
"0001","0.780","70.938","99.805","0.000"
"0001","0.790","70.938","99.939","0.000"
"0001","0.800","70.938","100.185","0.000"
"0001","0.810","70.938","100.476","0.000"
"0001","0.820","70.938","100.722","0.000"
"0001","0.830","70.938","100.968","0.000"
"0001","0.840","70.938","101.013","0.000"
"0001","0.850","70.938","101.013","0.000"
"0001","0.860","70.938","101.013","0.000"
"0001","0.870","70.938","101.035","0.000"
"0001","0.880","70.938","101.080","0.000"
"0001","0.890","70.938","101.169","0.000"
"0001","0.900","70.938","101.393","0.000"
"0001","0.910","70.938","101.549","0.000"
"0001","0.920","70.938","101.594","0.000"
"0001","0.930","70.938","101.549","0.000"
"0001","0.940","70.938","101.303","0.000"
"0001","0.950","70.938","101.169","0.000"
"0001","0.960","70.938","101.191","0.000"
"0001","0.970","70.938","101.505","0.000"
"0001","0.980","70.938","101.728","0.000"
"0001","0.990","70.938","101.862","0.000"
"0001","1.000","70.938","101.795","0.000"
"0001","1.010","70.938","101.505","0.000"
"0001","1.020","70.938","101.326","0.000"
