"Status","Time(Seconds)","Position(Degrees)","Torque(Foot-Pounds)","Speed(d/s)","End Pnt 0","Pos Start","Pos End","Trq Start","Peak Trq Start","Peak Trq End","Half Peak Trq","Stim","Reaction Start","Target Found","Target End"
"1",0,69.625,5.1108,.375,"0","","","9","9","9","9","9","9","9","9"
"1",.01,69.625,5.3075,.375,"0","0","","0","","","","","","",""
"1",.02,69.625,5.9792,.5625,"0","","","","","","","","","",""
"1",.03,69.625,7.1917,.8125,"0","","","","","","","","","",""
"1",.04,69.625,8.8629,1.0625,"0","","","","","","","","","",""
"1",.05,69.625,12.0415,1.1875,"0","","","","","","","","","",""
"1",.06,69.625,14.2043,1.1875,"0","","","","","","","","","",""
"1",.07,69.625,16.2851,1.125,"0","","","","","","","","","",""
"1",.08,69.5625,18.3314,1.125,"0","","","","","","","","","",""
"1",.09,69.5625,21.4445,1.0625,"0","","","","","","","","","",""
"1",.1,69.5625,23.6728,1,"0","","","","","","","","","",""
"1",.11,69.5625,25.9666,.875,"0","","","","","","","","","",""
"1",.12,69.5625,29.4729,1,"0","","","","","","","","","",""
"1",.13,69.5625,31.9306,1,"0","","","","","","","","","",""
"1",.14,69.5625,34.5685,1.0625,"0","","","","","","","","","",""
"1",.15,69.5625,37.3867,1.1875,"0","","","","","","","","","",""
"1",.16,69.5,41.9071,1.25,"0","","","","","","","","","",""
"1",.17,69.5,45.0529,1.25,"0","","","","","","","","","",""
"1",.18,69.5,48.2151,1.25,"0","","","","","","","","","",""
"1",.19,69.5,51.361,1.1875,"0","","","","","","","","","",""
"1",.2,69.4375,55.7994,1.0625,"0","","","","","","","","","",""
"1",.21,69.4375,58.4373,.875,"0","","","","","","","","","",""
"1",.22,69.4375,60.7476,.6875,"0","","","","","","","","","",""
"1",.23,69.4375,63.5002,.5,"0","","","","","","","","","",""
"1",.24,69.4375,64.8437,.4375,"0","","","","","","","","","",""
"1",.25,69.4375,65.794,.3125,"0","","","","","","","","","",""
"1",.26,69.4375,66.4658,.25,"0","","","","","","","","","",""
"1",.27,69.4375,67.1048,.1875,"0","","","","","","","","","",""
"1",.28,69.4375,67.3505,.125,"0","","","","","","","","","",""
"1",.29,69.4375,67.5635,.125,"0","","","","","","","","","",""
"1",.3,69.4375,67.7438,.0625,"0","","","","","","","","","",""
