"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","89.250","0.111","-0.438"
"0001","0.010","89.250","0.738","-2.313"
"0001","0.020","89.250","1.700","-4.313"
"0001","0.030","89.250","2.281","-7.438"
"0001","0.040","89.250","2.371","-9.438"
"0001","0.050","89.125","2.170","-11.313"
"0001","0.060","89.063","1.924","-13.063"
"0001","0.070","88.875","1.499","-15.188"
"0001","0.080","88.750","1.230","-16.313"
"0001","0.090","88.625","0.984","-17.125"
"0001","0.100","88.375","0.514","-17.813"
"0001","0.110","88.250","0.178","-17.688"
"0001","0.120","88.125","0.844","-17.188"
"0001","0.130","87.938","1.178","-16.438"
"0001","0.140","87.750","1.333","-15.250"
"0001","0.150","87.625","1.356","-14.438"
"0001","0.160","87.500","1.422","-13.500"
"0001","0.170","87.375","1.489","-12.625"
"0001","0.180","87.250","1.511","-11.313"
"0001","0.190","87.125","1.511","-10.375"
"0001","0.200","87.063","1.533","-9.438"
"0001","0.210","86.938","1.644","-8.000"
"0001","0.220","86.875","1.733","-7.000"
"0001","0.230","86.813","1.844","-5.875"
"0001","0.240","86.750","1.956","-4.813"
"0001","0.250","86.688","2.133","-3.500"
"0001","0.260","86.688","2.222","-2.750"
"0001","0.270","86.688","2.267","-2.000"
"0001","0.280","86.625","2.222","-1.250"
"0001","0.290","86.625","2.133","-0.063"
"0001","0.300","86.625","2.022","0.688"
"0001","0.310","86.688","1.889","1.500"
"0001","0.320","86.688","1.667","2.625"
"0001","0.330","86.688","1.533","3.250"
"0001","0.340","86.750","1.467","3.750"
"0001","0.350","86.750","1.400","4.250"
"0001","0.360","86.813","1.289","4.875"
"0001","0.370","86.875","1.244","5.188"
"0001","0.380","86.938","1.222","5.438"
"0001","0.390","87.000","1.178","5.688"
"0001","0.400","87.063","1.022","6.000"
"0001","0.410","87.125","0.933","6.125"
"0001","0.420","87.188","0.822","6.250"
"0001","0.430","87.250","0.689","6.313"
"0001","0.440","87.313","0.622","6.250"
"0001","0.450","87.375","0.556","6.125"
"0001","0.460","87.438","0.489","6.000"
"0001","0.470","87.500","0.422","5.750"
"0001","0.480","87.563","0.356","5.563"
"0001","0.490","87.563","0.333","5.313"
"0001","0.500","87.625","0.311","5.063"
"0001","0.510","87.688","0.267","4.625"
"0001","0.520","87.750","0.244","4.375"
"0001","0.530","87.813","0.222","4.125"
"0001","0.540","87.813","0.222","3.750"
"0001","0.550","87.875","0.222","3.375"
"0001","0.560","87.875","0.244","3.063"
"0001","0.570","87.938","0.289","2.688"
"0001","0.580","87.938","0.400","2.125"
"0001","0.590","88.000","0.489","1.813"
"0001","0.600","88.000","0.600","1.500"
"0001","0.610","88.000","0.711","1.188"
"0001","0.620","88.000","0.822","0.875"
"0001","0.630","88.000","0.844","0.688"
"0001","0.640","88.063","0.867","0.563"
"0001","0.650","88.063","0.867","0.375"
"0001","0.660","88.063","0.822","0.313"
"0001","0.670","88.063","0.800","0.250"
"0001","0.680","88.063","0.756","0.188"
"0001","0.690","88.063","0.711","0.125"
"0001","0.700","88.063","0.711","0.063"
"0001","0.710","88.063","0.756","0.063"
"0001","0.720","88.063","0.778","0.063"
"0001","0.730","88.063","0.822","0.000"
"0001","0.740","88.063","0.844","0.000"
"0001","0.750","88.063","0.867","0.000"
"0001","0.760","88.063","0.867","0.000"
"0001","0.770","88.063","0.889","0.000"
"0001","0.780","88.063","0.911","0.000"
"0001","0.790","88.063","0.933","0.000"
"0001","0.800","88.063","1.000","0.000"
"0001","0.810","88.063","1.067","0.000"
"0001","0.820","88.063","1.133","0.000"
"0001","0.830","88.063","1.222","0.000"
"0001","0.840","88.063","1.333","0.000"
"0001","0.850","88.063","1.422","0.063"
"0001","0.860","88.063","1.511","0.125"
"0001","0.870","88.063","1.556","0.375"
"0001","0.880","88.063","1.578","0.750"
"0001","0.890","88.063","1.578","1.188"
"0001","0.900","88.063","1.533","1.750"
"0001","0.910","88.063","1.467","2.625"
"0001","0.920","88.125","1.444","3.250"
"0001","0.930","88.125","1.467","3.813"
"0001","0.940","88.188","1.511","4.375"
"0001","0.950","88.250","1.489","5.438"
"0001","0.960","88.313","1.467","6.063"
"0001","0.970","88.375","1.467","6.750"
"0001","0.980","88.438","1.400","7.813"
"0001","0.990","88.563","1.356","8.438"
"0001","1.000","88.625","1.289","9.000"
"0001","1.010","88.688","1.244","9.438"
"0001","1.020","88.813","1.222","10.063"
"0001","1.030","88.938","1.222","10.438"
"0001","1.040","89.000","1.222","10.750"
"0001","1.050","89.063","1.222","11.063"
"0001","1.060","89.188","1.133","11.500"
"0005","1.070","89.250","1.044","11.750"
"0005","1.080","89.250","0.978","11.875"
"0005","1.090","89.375","0.933","10.938"
"0005","1.100","89.500","1.022","9.813"
"0005","1.110","89.563","1.267","8.375"
"0005","1.120","89.625","1.600","6.813"
"0005","1.130","89.688","1.756","5.000"
"0005","1.140","89.688","1.689","4.063"
"0001","1.150","89.750","1.556","3.250"
"0001","1.160","89.750","1.422","2.625"
"0001","1.170","89.750","1.178","1.875"
