"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","69.375","3.311","0.000"
"0001","0.010","69.375","3.311","0.000"
"0001","0.020","69.375","3.311","0.000"
"0001","0.030","69.375","3.311","0.000"
"0001","0.040","69.375","3.311","0.000"
"0001","0.050","69.375","3.311","0.000"
"0001","0.060","69.375","3.311","0.000"
"0001","0.070","69.375","3.311","0.000"
"0001","0.080","69.375","3.311","0.000"
"0001","0.090","69.375","3.311","0.000"
"0001","0.100","69.375","3.311","0.000"
"0001","0.110","69.375","3.311","0.000"
"0001","0.120","69.375","3.311","0.000"
"0001","0.130","69.375","3.311","0.000"
"0001","0.140","69.375","3.311","0.000"
"0001","0.150","69.375","3.311","0.000"
"0001","0.160","69.375","3.311","0.000"
"0001","0.170","69.375","3.311","0.000"
"0001","0.180","69.375","3.311","0.000"
"0001","0.190","69.375","3.311","0.000"
"0001","0.200","69.375","3.311","0.000"
"0001","0.210","69.375","3.311","0.000"
"0001","0.220","69.375","3.311","0.000"
"0001","0.230","69.375","3.311","0.000"
"0001","0.240","69.375","3.311","0.000"
"0001","0.250","69.375","3.311","0.000"
"0001","0.260","69.375","3.311","0.000"
"0001","0.270","69.375","3.311","0.000"
"0001","0.280","69.375","3.311","0.000"
"0001","0.290","69.375","3.311","0.000"
"0001","0.300","69.375","3.311","0.000"
"0001","0.310","69.375","3.311","0.000"
"0001","0.320","69.375","3.311","0.000"
"0001","0.330","69.375","3.311","0.000"
"0001","0.340","69.375","3.311","0.000"
"0001","0.350","69.375","3.311","0.000"
"0001","0.360","69.375","3.311","0.000"
"0001","0.370","69.375","3.311","0.000"
"0001","0.380","69.375","3.311","0.000"
"0001","0.390","69.375","3.311","0.000"
"0001","0.400","69.375","3.311","0.000"
"0001","0.410","69.375","3.311","0.000"
"0001","0.420","69.375","3.311","0.000"
"0001","0.430","69.375","3.311","0.000"
"0001","0.440","69.375","3.311","0.000"
"0001","0.450","69.375","3.311","0.000"
"0001","0.460","69.375","3.311","0.000"
"0001","0.470","69.375","3.311","0.000"
"0001","0.480","69.375","3.311","0.000"
"0001","0.490","69.375","3.311","0.000"
"0001","0.500","69.375","3.311","0.000"
"0001","0.510","69.375","3.311","0.000"
"0001","0.520","69.375","3.311","0.000"
"0001","0.530","69.375","3.311","0.000"
"0001","0.540","69.375","3.311","0.000"
"0001","0.550","69.375","3.311","0.000"
"0001","0.560","69.375","3.311","0.000"
"0001","0.570","69.375","3.311","0.000"
"0001","0.580","69.375","3.311","0.000"
"0001","0.590","69.375","3.311","0.000"
"0001","0.600","69.375","3.311","0.000"
"0001","0.610","69.375","3.311","0.000"
"0001","0.620","69.375","3.311","0.000"
"0001","0.630","69.375","3.311","0.000"
"0001","0.640","69.375","3.311","0.000"
"0001","0.650","69.375","3.311","0.000"
"0001","0.660","69.375","3.311","0.000"
"0001","0.670","69.375","3.311","0.000"
"0001","0.680","69.375","3.311","0.000"
"0001","0.690","69.375","3.311","0.000"
"0001","0.700","69.375","3.311","0.000"
"0001","0.710","69.375","3.311","0.000"
"0001","0.720","69.375","3.311","0.000"
"0001","0.730","69.375","3.311","0.000"
"0001","0.740","69.375","3.311","0.000"
"0001","0.750","69.375","3.311","0.000"
"0001","0.760","69.375","3.311","0.000"
"0001","0.770","69.375","3.311","0.000"
"0001","0.780","69.375","3.311","0.000"
"0001","0.790","69.375","3.311","0.000"
"0001","0.800","69.375","3.311","0.000"
"0001","0.810","69.375","3.311","0.000"
"0001","0.820","69.375","3.311","0.000"
"0001","0.830","69.375","3.311","0.000"
"0001","0.840","69.375","3.311","0.000"
"0001","0.850","69.375","3.311","0.000"
"0001","0.860","69.375","3.311","0.000"
"0001","0.870","69.375","3.311","0.000"
"0001","0.880","69.375","3.311","0.000"
"0001","0.890","69.375","3.311","0.000"
"0001","0.900","69.375","3.311","0.000"
"0001","0.910","69.375","3.311","0.000"
"0001","0.920","69.375","3.311","0.000"
"0001","0.930","69.375","3.311","0.000"
"0001","0.940","69.375","3.311","0.000"
"0001","0.950","69.375","3.311","0.000"
"0001","0.960","69.375","3.311","0.000"
"0001","0.970","69.375","3.311","0.000"
"0001","0.980","69.375","3.311","0.000"
"0001","0.990","69.375","3.311","0.000"
"0001","1.000","69.375","3.311","0.000"
"0001","1.010","69.375","3.311","0.000"
"0001","1.020","69.375","3.311","0.000"
"0001","1.030","69.375","3.311","0.000"
"0001","1.040","69.375","3.311","0.000"
"0001","1.050","69.375","3.311","0.000"
"0001","1.060","69.375","3.311","0.000"
"0001","1.070","69.375","3.311","0.000"
"0001","1.080","69.375","3.311","0.000"
"0001","1.090","69.375","3.311","0.000"
