"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","56.188","0.000","0.000"
"0001","0.010","56.188","0.000","0.000"
"0001","0.020","56.188","0.000","0.000"
"0001","0.030","56.188","0.000","0.000"
"0001","0.040","56.188","0.000","0.000"
"0001","0.050","56.188","0.000","0.000"
"0001","0.060","56.188","0.000","0.000"
"0001","0.070","56.188","0.000","0.000"
"0001","0.080","56.188","0.000","0.000"
"0001","0.090","56.188","0.000","0.000"
"0001","0.100","56.188","0.000","0.000"
"0001","0.110","56.188","0.000","0.000"
"0001","0.120","56.188","0.000","0.000"
"0001","0.130","56.188","0.000","0.000"
"0001","0.140","56.188","0.000","0.000"
"0001","0.150","56.188","0.000","0.000"
"0001","0.160","56.188","0.000","0.000"
"0001","0.170","56.188","0.000","0.000"
"0001","0.180","56.188","0.000","0.000"
"0001","0.190","56.188","0.000","0.000"
"0001","0.200","56.188","0.000","0.000"
"0001","0.210","56.188","0.000","0.000"
"0001","0.220","56.188","0.000","0.000"
"0001","0.230","56.188","0.000","0.000"
"0001","0.240","56.188","0.000","0.000"
"0001","0.250","56.188","0.000","0.000"
"0001","0.260","56.188","0.000","0.000"
"0001","0.270","56.188","0.000","0.000"
"0001","0.280","56.188","0.000","0.000"
"0001","0.290","56.188","0.000","0.000"
"0001","0.300","56.188","0.000","0.000"
"0001","0.310","56.188","0.000","0.000"
"0001","0.320","56.188","0.000","0.000"
"0001","0.330","56.188","0.000","0.000"
"0001","0.340","56.188","0.000","0.000"
"0001","0.350","56.188","0.000","0.000"
"0001","0.360","56.188","0.000","0.000"
"0001","0.370","56.188","0.000","0.000"
"0001","0.380","56.188","0.000","0.000"
"0001","0.390","56.188","0.000","0.000"
"0001","0.400","56.188","0.000","0.000"
"0001","0.410","56.188","0.000","0.000"
"0001","0.420","56.188","0.000","0.000"
"0001","0.430","56.188","0.000","0.000"
"0001","0.440","56.188","0.000","0.000"
"0001","0.450","56.188","0.000","0.000"
"0001","0.460","56.188","0.000","0.000"
"0001","0.470","56.188","0.000","0.000"
"0001","0.480","56.188","0.000","0.000"
"0001","0.490","56.188","0.000","0.000"
"0001","0.500","56.188","0.000","0.000"
"0001","0.510","56.188","0.000","0.000"
"0001","0.520","56.188","0.000","0.000"
"0001","0.530","56.188","0.000","0.000"
"0001","0.540","56.188","0.000","0.000"
"0001","0.550","56.188","0.000","0.000"
"0001","0.560","56.188","0.000","0.000"
"0001","0.570","56.188","0.000","0.000"
"0001","0.580","56.188","0.000","0.000"
"0001","0.590","56.188","0.000","0.000"
"0001","0.600","56.188","0.000","0.000"
"0001","0.610","56.188","0.000","0.000"
"0001","0.620","56.188","0.000","0.000"
"0001","0.630","56.188","0.000","0.000"
"0001","0.640","56.188","0.000","0.000"
"0001","0.650","56.188","0.000","0.000"
"0001","0.660","56.188","0.000","0.000"
"0001","0.670","56.188","0.000","0.000"
"0001","0.680","56.188","0.000","0.000"
"0001","0.690","56.188","0.000","0.000"
"0001","0.700","56.188","0.000","0.000"
"0001","0.710","56.188","0.000","0.000"
"0001","0.720","56.188","0.000","0.000"
"0001","0.730","56.188","0.000","0.000"
"0001","0.740","56.188","0.000","0.000"
"0001","0.750","56.188","0.000","0.000"
"0001","0.760","56.188","0.000","0.000"
"0001","0.770","56.188","0.000","0.000"
"0001","0.780","56.188","0.000","0.000"
"0001","0.790","56.188","0.000","0.000"
"0001","0.800","56.188","0.000","0.000"
"0001","0.810","56.188","0.000","0.000"
"0001","0.820","56.188","0.000","0.000"
"0001","0.830","56.188","0.000","0.000"
"0001","0.840","56.188","0.000","0.000"
"0001","0.850","56.188","0.000","0.000"
"0001","0.860","56.188","0.000","0.000"
"0001","0.870","56.188","0.000","0.000"
"0001","0.880","56.188","0.000","0.000"
"0001","0.890","56.188","0.000","0.000"
"0001","0.900","56.188","0.000","0.000"
"0001","0.910","56.188","0.000","0.000"
"0001","0.920","56.188","0.000","0.000"
"0001","0.930","56.188","0.000","0.000"
"0001","0.940","56.188","0.000","0.000"
"0001","0.950","56.188","0.000","0.000"
"0001","0.960","56.188","0.000","0.000"
"0001","0.970","56.188","0.000","0.000"
"0001","0.980","56.188","0.000","0.000"
"0001","0.990","56.188","0.000","0.000"
"0001","1.000","56.188","0.000","0.000"
"0001","1.010","56.188","0.000","0.000"
"0001","1.020","56.188","0.000","0.000"
"0001","1.030","56.188","0.000","0.000"
"0001","1.040","56.188","0.000","0.000"
"0001","1.050","56.188","0.000","0.000"
"0001","1.060","56.188","0.000","0.000"
"0001","1.070","56.188","0.000","0.000"
"0001","1.080","56.188","0.000","0.000"
"0001","1.090","56.188","0.000","0.000"
"0001","1.100","56.188","0.000","0.000"
"0001","1.110","56.188","0.000","0.000"
"0001","1.120","56.188","0.000","0.000"
"0001","1.130","56.188","0.000","0.000"
"0001","1.140","56.188","0.000","0.000"
"0001","1.150","56.188","0.000","0.000"
"0001","1.160","56.188","0.000","0.000"
"0001","1.170","56.188","0.000","0.000"
"0001","1.180","56.188","0.000","0.000"
"0001","1.190","56.188","5.745","-0.500"
"0001","1.200","56.188","8.899","-1.563"
"0001","1.210","56.188","11.807","-1.500"
"0001","1.220","56.188","14.916","-1.313"
"0001","1.230","56.188","18.047","-1.188"
"0001","1.240","56.125","23.133","-1.375"
"0001","1.250","56.125","26.734","-1.375"
"0001","1.260","56.125","30.402","-1.313"
"0001","1.270","56.125","34.025","-1.250"
"0001","1.280","56.063","39.155","-1.125"
"0001","1.290","56.063","42.376","-1.063"
"0001","1.300","56.063","45.373","-1.000"
"0001","1.310","56.063","49.489","-0.875"
"0001","1.320","56.063","51.904","-0.750"
"0001","1.330","56.000","54.082","-0.688"
"0001","1.340","56.000","56.051","-0.563"
"0001","1.350","56.000","58.734","-0.500"
"0001","1.360","56.000","60.501","-0.563"
"0001","1.370","56.000","62.380","-0.563"
"0001","1.380","56.000","64.438","-0.625"
"0001","1.390","56.000","67.793","-0.688"
"0001","1.400","56.000","70.119","-0.625"
"0001","1.410","56.000","72.378","-0.563"
"0001","1.420","56.000","75.487","-0.438"
"0001","1.430","56.000","77.388","-0.313"
"0001","1.440","55.938","79.231","-0.313"
"0001","1.450","55.938","80.998","-0.250"
"0001","1.460","55.938","83.681","-0.188"
"0001","1.470","55.938","85.516","-0.188"
"0001","1.480","55.938","87.350","-0.188"
"0001","1.490","55.938","89.161","-0.188"
"0001","1.500","55.938","91.733","-0.125"
"0001","1.510","55.938","93.299","-0.125"
"0001","1.520","55.938","94.775","-0.063"
"0001","1.530","55.938","96.811","-0.063"
"0001","1.540","55.938","97.996","-0.063"
"0001","1.550","55.938","99.181","-0.063"
"0001","1.560","55.938","100.389","-0.063"
"0001","1.570","55.938","102.357","0.000"
"0001","1.580","55.938","103.767","-0.063"
"0001","1.590","55.938","105.220","-0.063"
"0001","1.600","55.938","106.629","-0.063"
"0001","1.610","55.938","108.419","-0.063"
"0001","1.620","55.938","109.425","0.000"
"0001","1.630","55.938","110.298","0.000"
"0001","1.640","55.938","111.595","0.000"
"0001","1.650","55.938","112.534","0.000"
"0001","1.660","55.938","113.541","0.000"
"0001","1.670","55.938","114.614","0.000"
"0001","1.680","55.938","116.292","0.000"
"0001","1.690","55.938","117.410","0.000"
"0001","1.700","55.938","118.461","0.000"
"0001","1.710","55.938","119.423","0.000"
"0001","1.720","55.938","120.631","0.000"
"0001","1.730","55.938","121.347","0.000"
"0001","1.740","55.938","122.085","0.000"
"0001","1.750","55.938","123.449","0.000"
"0001","1.760","55.938","124.478","0.000"
"0001","1.770","55.938","125.596","0.000"
"0001","1.780","55.938","126.692","0.000"
"0001","1.790","55.938","128.079","0.000"
"0001","1.800","55.938","128.727","0.000"
"0001","1.810","55.938","129.130","0.000"
"0001","1.820","55.938","129.287","0.000"
"0001","1.830","55.938","129.354","0.000"
"0001","1.840","55.938","129.510","0.000"
"0001","1.850","55.938","129.868","0.000"
"0001","1.860","55.938","130.629","0.000"
"0001","1.870","55.938","131.121","0.000"
"0001","1.880","55.938","131.479","0.000"
"0001","1.890","55.938","131.702","0.000"
"0001","1.900","55.938","131.792","0.000"
"0001","1.910","55.938","131.926","0.000"
"0001","1.920","55.938","132.217","0.000"
"0001","1.930","55.938","132.686","0.000"
"0001","1.940","55.938","133.603","0.000"
"0001","1.950","55.938","134.140","0.000"
"0001","1.960","55.938","134.409","0.000"
"0001","1.970","55.938","134.006","0.000"
"0001","1.980","55.938","133.357","0.000"
"0001","1.990","55.938","132.642","0.000"
"0001","2.000","55.938","132.060","0.000"
"0001","2.010","55.938","131.859","0.000"
"0001","2.020","55.938","132.261","0.000"
"0001","2.030","55.938","132.910","0.000"
